member_id,status,sex,date_of_birth,annual_pension,normal_retirement_age
M0042,pensioner,M,1952-10-26,3956.89,65
M0043,pensioner,M,1947-08-07,14711.93,65
M0044,pensioner,M,1952-10-12,2453.29,65
M0045,pensioner,M,1949-02-20,7821.63,65
M0046,pensioner,F,1954-01-11,13765.08,65
M0047,pensioner,M,1952-04-04,10867.68,65
M0048,pensioner,M,1949-07-09,33668.4,65
M0049,pensioner,M,1957-02-16,3018.21,65
M0050,pensioner,M,1958-05-02,1734.16,65
M0051,pensioner,M,1959-09-06,2451.89,65
M0052,pensioner,M,1956-10-08,10871.64,65
M0053,pensioner,F,1942-08-11,9392.3,65
M0054,pensioner,M,1961-06-30,6578.39,65
M0055,pensioner,F,1946-10-28,2183.87,65
M0056,pensioner,F,1957-04-01,11964.45,65
M0057,pensioner,M,1953-04-08,1992.77,65
M0058,pensioner,M,1949-11-18,17027.23,65
M0059,pensioner,F,1948-11-17,78527.91,65
M0060,pensioner,M,1948-03-22,8344.19,65
M0061,pensioner,F,1957-05-11,10140.7,65
M0062,pensioner,M,1958-04-08,3850.43,65
M0063,pensioner,F,1947-09-15,1176.53,65
M0064,pensioner,F,1956-02-06,3487.94,65
M0065,pensioner,M,1950-08-05,2243.76,65
M0066,pensioner,M,1953-06-06,1631.43,65
M0067,pensioner,F,1949-01-17,28272.33,65
M0068,pensioner,M,1957-12-27,7670.15,65
M0069,pensioner,M,1953-04-20,8444.19,65
M0070,pensioner,M,1949-07-26,4543.24,65
M0071,pensioner,M,1957-01-16,5135.49,65
M0072,pensioner,F,1950-12-01,14294.22,65
M0073,pensioner,F,1959-11-13,5827.9,65
M0074,pensioner,M,1957-06-22,9673.44,65
M0075,pensioner,F,1957-08-16,5029.68,65
M0076,pensioner,M,1950-09-04,4409.77,65
M0077,pensioner,M,1958-04-29,1691.37,65
M0078,pensioner,M,1954-06-21,1011.86,65
M0079,pensioner,F,1950-09-22,4741.5,65
M0080,pensioner,M,1950-12-31,6312.97,65
M0081,pensioner,M,1949-03-31,1885.59,65
M0082,pensioner,M,1955-05-11,5816.69,65
M0083,pensioner,F,1957-12-15,6297.4,65
M0084,pensioner,M,1955-03-17,861.87,65
M0085,pensioner,M,1951-05-16,2633.06,65
M0086,pensioner,F,1957-08-05,8656.38,65
M0087,pensioner,M,1944-03-05,8500.39,65
M0088,pensioner,M,1957-06-03,2124.32,65
M0089,pensioner,M,1948-09-01,6919.63,65
M0090,pensioner,M,1956-03-19,15058.25,65
M0091,pensioner,M,1957-04-13,12074.85,65
M0092,pensioner,F,1947-11-06,5506.9,65
M0093,pensioner,M,1951-02-04,3937.64,65
M0094,pensioner,F,1952-09-01,3405.36,65
M0095,pensioner,F,1959-04-29,9141.25,65
M0096,pensioner,M,1953-12-29,7151.72,65
M0097,pensioner,M,1958-10-22,10572.15,65
M0098,pensioner,F,1952-09-16,6756.1,65
M0099,pensioner,M,1954-05-25,12536.53,65
M0100,pensioner,F,1941-10-03,6533.17,65
M0101,pensioner,F,1956-06-26,12157.9,65
M0102,pensioner,M,1953-02-19,13137.88,65
M0103,pensioner,M,1952-10-23,2908.64,65
M0104,pensioner,M,1943-09-12,1178.72,65
M0105,pensioner,M,1947-11-21,24068.48,65
M0106,pensioner,M,1951-09-19,7559.1,65
M0107,pensioner,M,1942-11-12,1282.39,65
M0108,pensioner,F,1959-09-09,3156.05,65
M0109,pensioner,F,1957-09-09,12018.49,65
M0110,pensioner,F,1949-06-28,4664.83,65
M0111,pensioner,M,1956-05-07,3784.46,65
M0112,pensioner,M,1952-01-23,21169.32,65
M0113,pensioner,M,1947-11-12,2337.78,65
M0114,pensioner,M,1938-08-06,2925.37,65
M0115,pensioner,F,1931-04-05,7257.3,65
M0116,pensioner,M,1951-04-04,8526.41,65
M0117,pensioner,M,1952-06-05,9378.95,65
M0118,pensioner,F,1961-01-27,13624.56,65
M0119,pensioner,M,1957-11-22,7174.12,65
M0120,pensioner,M,1959-06-20,9320.4,65
M0121,pensioner,M,1955-09-12,4751.55,65
M0122,pensioner,M,1946-01-16,6348.31,65
M0123,pensioner,F,1953-04-25,6609.71,65
M0124,pensioner,M,1955-11-03,7281.58,65
M0125,pensioner,F,1958-06-17,12025.69,65
M0126,pensioner,F,1955-01-01,9888.68,65
M0127,pensioner,F,1940-06-05,6243.59,65
M0128,pensioner,M,1953-07-12,2896.62,65
M0129,pensioner,M,1946-09-16,6376.78,65
M0130,pensioner,F,1958-07-25,5850.6,65
M0131,pensioner,M,1960-05-16,7139.36,65
M0132,pensioner,M,1937-07-17,43712.42,65
M0133,pensioner,F,1961-02-21,3744.78,65
M0134,pensioner,M,1947-11-11,8774.24,65
M0135,pensioner,F,1947-02-12,15695.52,65
M0136,pensioner,F,1951-06-29,6553.25,65
M0137,pensioner,F,1955-10-28,49196.38,65
M0138,pensioner,M,1954-11-24,4269.62,65
M0139,pensioner,F,1959-10-23,8032.05,65
M0140,pensioner,M,1951-01-01,2923.65,65
M0141,pensioner,F,1958-03-18,4372.73,65
M0142,pensioner,F,1953-03-10,7506.73,65
M0143,pensioner,F,1941-12-08,12851.15,65
M0144,pensioner,M,1953-04-16,7996.03,65
M0145,pensioner,M,1955-07-09,18633.53,65
M0146,pensioner,M,1952-04-13,5508.49,65
M0147,pensioner,M,1944-02-14,4449.57,65
M0148,pensioner,M,1952-10-24,68398.17,65
M0149,pensioner,M,1957-11-09,8555.49,65
M0150,pensioner,M,1945-09-20,3140.01,65
M0151,pensioner,F,1951-02-21,3212.09,65
M0152,pensioner,F,1942-04-14,2568.57,65
M0153,pensioner,M,1953-02-07,13938.74,65
M0154,pensioner,F,1941-05-12,4322.44,65
M0155,pensioner,F,1940-10-12,6728.73,65
M0156,pensioner,M,1956-01-03,5666.67,65
M0157,pensioner,M,1957-08-20,11589.54,65
M0158,pensioner,F,1942-11-17,2800.2,65
M0159,pensioner,F,1949-06-04,2279.02,65
M0160,pensioner,F,1957-09-23,7342.12,65
M0161,pensioner,F,1954-08-11,10304.93,65
M0162,pensioner,F,1955-11-17,8093.32,65
M0163,pensioner,M,1951-11-14,2895.77,65
M0164,pensioner,M,1943-04-24,11039.68,65
M0165,pensioner,M,1953-11-05,3071.86,65
M0166,pensioner,F,1949-06-02,3752.32,65
M0167,pensioner,M,1954-12-17,2565.62,65
M0168,pensioner,M,1961-04-25,19352.12,65
M0169,pensioner,F,1957-03-30,10610.44,65
M0170,pensioner,M,1947-03-30,10342.42,65
M0171,pensioner,F,1954-04-29,18434.98,65
M0172,pensioner,M,1958-06-11,75425.38,65
M0173,pensioner,F,1957-03-11,1288.47,65
M0174,pensioner,F,1946-07-19,3087.06,65
M0175,pensioner,M,1950-04-07,3445.96,65
M0176,pensioner,F,1943-11-15,2789.94,65
M0177,pensioner,M,1955-10-22,2274.9,65
M0178,pensioner,M,1960-02-20,4581.71,65
M0179,pensioner,F,1956-05-12,2007.35,65
M0180,pensioner,F,1952-08-18,8111.62,65
M0181,pensioner,M,1953-02-27,6285.77,65
M0182,pensioner,M,1953-11-05,9250.57,65
M0183,pensioner,F,1952-09-29,9475.55,65
M0184,pensioner,M,1934-06-06,10323.94,65
M0185,pensioner,M,1939-07-22,4287.45,65
M0186,pensioner,M,1961-05-25,40479.21,65
M0187,pensioner,M,1956-11-13,7409.39,65
M0188,pensioner,F,1959-04-19,1122.46,65
M0189,pensioner,M,1952-01-17,2434.21,65
M0190,pensioner,M,1944-12-03,1252.71,65
M0191,pensioner,F,1960-05-27,6094.34,65
M0192,pensioner,M,1959-10-21,5377.02,65
M0193,pensioner,F,1955-11-15,3936.04,65
M0194,pensioner,M,1958-10-22,36656.58,65
M0195,pensioner,F,1955-04-29,9833.98,65
M0196,pensioner,F,1937-07-15,11533.41,65
M0197,pensioner,F,1939-11-16,2595.54,65
M0198,pensioner,M,1931-05-01,2441.3,65
M0199,pensioner,M,1957-07-08,6202.08,65
M0200,pensioner,F,1951-11-02,7010.9,65
M0201,pensioner,M,1940-09-27,1128.71,65
M0202,pensioner,M,1956-07-13,5101.24,65
M0203,pensioner,M,1948-05-08,6076.47,65
M0204,pensioner,F,1951-02-03,4943.76,65
M0205,pensioner,F,1957-07-31,2885.53,65
M0206,pensioner,M,1955-08-23,3692.04,65
M0207,pensioner,F,1956-06-22,5117.09,65
M0208,pensioner,M,1956-09-13,6510.91,65
M0209,pensioner,M,1952-09-17,10340.54,65
M0210,pensioner,M,1959-01-05,15871.58,65
M0211,pensioner,M,1950-10-19,4603.64,65
M0212,pensioner,M,1946-06-20,3979.75,65
M0213,pensioner,F,1953-04-29,8896.43,65
M0214,pensioner,F,1951-10-04,10397.03,65
M0215,pensioner,M,1954-02-22,4059.17,65
M0216,pensioner,M,1954-07-27,12220.48,65
M0217,pensioner,M,1960-05-05,14488.95,65
M0218,pensioner,F,1952-01-15,19187.85,65
M0219,pensioner,F,1955-05-08,29732.72,65
M0220,pensioner,F,1937-10-28,2751.06,65
M0221,pensioner,M,1941-12-25,6075.52,65
M0222,pensioner,M,1951-06-26,6061.21,65
M0223,pensioner,M,1960-09-03,5493.1,65
M0224,pensioner,M,1945-01-15,3344.85,65
M0225,pensioner,M,1952-06-20,1575.79,65
M0226,pensioner,M,1950-09-24,6521.93,65
M0227,pensioner,F,1947-02-25,3004.89,65
M0228,pensioner,M,1950-12-08,6482.81,65
M0229,pensioner,M,1958-05-05,2936.21,65
M0230,pensioner,F,1952-06-17,2230.15,65
M0231,pensioner,M,1954-02-24,7408.5,65
M0232,pensioner,F,1956-11-27,6872.92,65
M0233,pensioner,M,1955-05-26,10105.84,65
M0234,pensioner,F,1956-08-02,42907.08,65
M0235,pensioner,M,1953-05-08,7700.77,65
M0236,pensioner,M,1942-10-19,9284.38,65
M0237,pensioner,F,1956-06-19,2274.94,65
M0238,pensioner,M,1953-02-27,1884.27,65
M0239,pensioner,M,1952-03-15,24935.84,65
M0240,pensioner,M,1957-07-18,2613.34,65
M0241,pensioner,M,1951-12-12,2344.82,65
M0242,pensioner,F,1940-10-01,5792.54,65
M0243,pensioner,M,1947-08-29,5532.2,65
M0244,pensioner,M,1957-03-13,2663.13,65
M0245,pensioner,M,1955-01-23,4559.82,65
M0246,pensioner,F,1957-03-31,18141.42,65
M0247,pensioner,M,1944-03-03,2904.8,65
M0248,pensioner,F,1949-11-28,1711.64,65
M0249,pensioner,F,1940-09-17,14014.52,65
M0250,pensioner,M,1945-02-24,9344.86,65
M0251,pensioner,F,1951-01-21,3432.51,65
M0252,pensioner,M,1940-08-14,1444.57,65
M0253,pensioner,M,1951-01-22,3069.76,65
M0254,pensioner,F,1947-12-12,5711.75,65
M0255,pensioner,F,1956-12-10,17130.57,65
M0256,pensioner,M,1954-01-14,2360.41,65
M0257,pensioner,M,1960-02-24,5560.52,65
M0258,pensioner,M,1946-08-27,11016.45,65
M0259,pensioner,M,1948-04-23,703.72,65
M0260,pensioner,M,1956-02-05,15213.25,65
M0261,pensioner,M,1945-03-14,2070.01,65
M0262,pensioner,M,1948-07-24,8089.41,65
M0263,pensioner,M,1940-01-03,7491.54,65
M0264,pensioner,F,1948-09-21,15924.95,65
M0265,pensioner,F,1955-02-08,9851.18,65
M0266,pensioner,F,1958-09-19,706.24,65
M0267,pensioner,M,1942-06-25,2960.8,65
M0268,pensioner,M,1949-06-21,6794.71,65
M0269,pensioner,M,1960-02-29,5034.32,65
M0270,pensioner,M,1954-04-23,9222.16,65
M0271,pensioner,M,1959-12-10,12209.2,65
M0272,pensioner,M,1952-01-28,10374.66,65
M0273,pensioner,F,1945-04-30,4947.65,65
M0274,pensioner,M,1949-09-13,1138.89,65
M0275,pensioner,F,1952-02-19,3982.17,65
M0276,pensioner,M,1953-12-29,8727.6,65
M0277,pensioner,F,1951-04-05,2248.71,65
M0278,pensioner,M,1941-08-22,10589.96,65
M0279,pensioner,M,1959-04-20,13589.72,65
M0280,pensioner,M,1949-11-04,6725.73,65
M0281,pensioner,F,1942-10-06,380.74,65
M0282,pensioner,M,1951-08-16,1899.29,65
M0283,pensioner,M,1947-10-19,32763.98,65
M0284,pensioner,M,1959-02-20,3668.84,65
M0285,pensioner,F,1948-01-23,1006.05,65
M0286,pensioner,M,1946-01-08,18237.54,65
M0287,pensioner,M,1952-09-15,6072.56,65
M0288,pensioner,M,1952-09-11,16219.37,65
M0289,pensioner,F,1952-05-29,7698.48,65
M0290,pensioner,M,1961-06-23,9065.38,65
M0291,pensioner,M,1955-10-02,8318.38,65
M0292,pensioner,F,1955-10-16,11240.23,65
M0293,pensioner,M,1951-07-03,46592.84,65
M0294,pensioner,M,1946-07-28,14377.51,65
M0295,pensioner,M,1955-07-28,1446.94,65
M0296,pensioner,M,1942-09-20,8968.83,65
M0297,pensioner,M,1960-07-08,16761.63,65
M0298,pensioner,M,1961-02-23,17711.08,65
M0299,pensioner,F,1952-12-13,4087.02,65
M0300,pensioner,F,1947-10-25,17119.35,65
M0301,pensioner,M,1954-06-24,13828.44,65
M0302,pensioner,M,1943-12-09,60765.68,65
M0303,pensioner,M,1947-09-19,3054.93,65
M0304,pensioner,F,1947-11-02,3800.37,65
M0305,pensioner,M,1950-02-19,4555.12,65
M0306,pensioner,M,1935-12-13,3859.58,65
M0307,pensioner,M,1956-03-18,2693.23,65
M0308,pensioner,M,1941-09-26,499.25,65
M0309,pensioner,M,1958-03-26,4057.35,65
M0310,pensioner,F,1953-09-15,8366.05,65
M0311,pensioner,M,1944-02-04,3849.18,65
M0312,pensioner,F,1960-12-03,34247.12,65
M0313,pensioner,M,1951-01-20,6072.67,65
M0314,pensioner,F,1950-05-18,19176.5,65
M0315,pensioner,F,1952-05-11,7591.57,65
M0316,pensioner,F,1954-02-19,12623.07,65
M0317,pensioner,M,1958-05-06,7714.31,65
M0318,pensioner,M,1950-11-23,20566.54,65
M0319,pensioner,M,1948-12-14,6309.81,65
M0320,pensioner,M,1953-06-19,9377.08,65
M0321,pensioner,M,1948-06-27,8343.3,65
M0322,pensioner,F,1952-09-26,4628.82,65
M0323,pensioner,F,1950-05-01,8638.63,65
M0324,pensioner,M,1960-03-17,44822.36,65
M0325,pensioner,M,1956-01-03,4703.95,65
M0326,pensioner,F,1952-12-30,8751.96,65
M0327,pensioner,F,1948-01-03,18611.14,65
M0328,pensioner,M,1957-09-20,16743.12,65
M0329,pensioner,M,1950-05-27,6063.6,65
M0330,pensioner,F,1956-09-11,702.37,65
M0331,pensioner,M,1955-07-06,9552.4,65
M0332,pensioner,M,1947-12-08,814.02,65
M0333,pensioner,F,1959-12-30,22526.74,65
M0334,pensioner,F,1948-07-29,6988.64,65
M0335,pensioner,F,1956-11-06,14753.29,65
M0336,pensioner,F,1952-12-27,2664.08,65
M0337,pensioner,M,1945-11-09,1483.65,65
M0338,pensioner,M,1943-12-13,7587.02,65
M0339,pensioner,M,1955-02-15,5821.26,65
M0340,pensioner,M,1943-09-28,3855.01,65
M0341,pensioner,M,1953-10-31,6475.04,65
M0342,pensioner,M,1961-04-08,72417.77,65
M0343,pensioner,M,1959-04-29,12715.64,65
M0344,pensioner,F,1957-06-08,15429.92,65
M0345,pensioner,M,1948-02-21,12823.8,65
M0346,pensioner,M,1940-10-20,22720.68,65
M0347,pensioner,M,1951-06-06,5056.6,65
M0348,pensioner,M,1950-10-09,944.1,65
M0349,pensioner,F,1955-08-15,5063.37,65
M0350,pensioner,M,1947-02-22,12457.48,65
M0351,pensioner,M,1959-05-30,2506.63,65
M0352,pensioner,F,1958-11-04,5119.36,65
M0353,pensioner,M,1959-10-21,3219.31,65
M0354,pensioner,M,1951-02-23,23186.86,65
M0355,pensioner,M,1956-01-31,11778.44,65
M0356,pensioner,M,1951-12-10,10784.89,65
M0357,pensioner,F,1951-09-04,10498.17,65
M0358,pensioner,M,1944-01-03,5802.19,65
M0359,pensioner,M,1957-04-24,7167.52,65
M0360,pensioner,M,1946-01-12,2064.92,65
M0361,pensioner,M,1957-03-22,838.59,65
M0362,pensioner,M,1945-08-27,6867.72,65
M0363,pensioner,F,1951-07-03,8031.33,65
M0364,pensioner,M,1955-08-15,17816.01,65
M0365,pensioner,M,1951-10-12,24679.22,65
M0366,pensioner,M,1938-12-18,24649.54,65
M0367,pensioner,M,1937-12-15,2443.76,65
M0368,pensioner,M,1954-01-06,4369.82,65
M0369,pensioner,F,1953-04-15,9244.79,65
M0370,pensioner,F,1945-12-17,58584.71,65
M0371,pensioner,M,1961-05-03,22733.71,65
M0372,pensioner,M,1951-11-27,16431.77,65
M0373,pensioner,F,1954-10-11,4232.32,65
M0374,pensioner,M,1952-01-22,2709.81,65
M0375,pensioner,M,1961-03-28,12204.16,65
M0376,pensioner,M,1958-03-29,2228.13,65
M0377,pensioner,F,1956-11-30,4841.22,65
M0378,pensioner,F,1939-01-27,5411.14,65
M0379,pensioner,M,1945-09-21,25163.14,65
M0380,pensioner,F,1951-10-15,4360.26,65
M0381,pensioner,M,1957-10-29,667.93,65
M0382,pensioner,M,1956-11-04,9447.59,65
M0383,pensioner,M,1953-02-01,3198.37,65
M0384,pensioner,M,1949-08-13,6234.68,65
M0385,pensioner,M,1957-04-14,5549.6,65
M0386,pensioner,M,1946-01-22,4689.97,65
M0387,pensioner,M,1954-07-09,12219.9,65
M0388,pensioner,F,1933-10-15,1510.11,65
M0389,pensioner,M,1952-10-14,3767.63,65
M0390,pensioner,M,1943-02-08,11104.98,65
M0391,pensioner,M,1953-11-02,3452.45,65
M0392,pensioner,M,1949-12-03,1410.34,65
M0393,pensioner,F,1955-01-09,10951.31,65
M0394,pensioner,F,1955-12-07,16486.55,65
M0395,pensioner,F,1960-10-21,5761.88,65
M0396,pensioner,M,1951-02-16,1027.37,65
M0397,pensioner,M,1961-05-20,11326.35,65
M0398,pensioner,M,1949-03-31,1346.97,65
M0399,pensioner,M,1945-11-20,7922.28,65
M0400,pensioner,M,1951-08-21,2699.43,65
M0401,pensioner,M,1956-11-10,2112.57,65
M0402,pensioner,M,1950-12-09,4031.1,65
M0403,pensioner,M,1957-01-14,5087.53,65
M0404,pensioner,M,1947-02-01,3360.1,65
M0405,pensioner,F,1957-04-03,10191.89,65
M0406,pensioner,F,1943-08-29,4016.04,65
M0407,pensioner,M,1947-05-30,14496.85,65
M0408,pensioner,F,1960-04-29,7727.73,65
M0409,pensioner,M,1958-12-02,3202.58,65
M0410,pensioner,F,1935-03-17,2752.24,65
M0411,pensioner,F,1951-02-03,1362.08,65
M0412,pensioner,M,1959-01-18,7794.51,65
M0413,pensioner,F,1950-11-07,4360.69,65
M0414,pensioner,F,1956-12-12,709.48,65
M0415,pensioner,F,1953-10-10,3704.75,65
M0416,pensioner,F,1955-04-05,2666.67,65
M0417,pensioner,M,1948-03-30,24775.85,65
M0418,pensioner,M,1951-10-24,1295.97,65
M0419,pensioner,F,1949-03-23,1639.75,65
M0420,pensioner,M,1960-01-29,16292.94,65
M0421,pensioner,M,1947-05-22,20345.23,65
M0422,pensioner,M,1941-07-16,3068.76,65
M0423,pensioner,M,1943-11-19,3396.96,65
M0424,pensioner,M,1956-02-07,10447.59,65
M0425,pensioner,F,1943-05-05,738.87,65
M0426,pensioner,M,1958-02-10,1123.77,65
M0427,pensioner,F,1942-12-06,4660.39,65
M0428,pensioner,F,1953-07-08,24207.46,65
M0429,pensioner,M,1952-07-03,4053.59,65
M0430,pensioner,M,1942-01-19,6570.58,65
M0431,pensioner,M,1957-06-19,16646.0,65
M0432,pensioner,F,1958-02-27,39963.07,65
M0433,pensioner,F,1950-12-14,3570.11,65
M0434,pensioner,M,1949-06-21,5909.77,65
M0435,pensioner,M,1958-11-18,30926.37,65
M0436,pensioner,M,1945-05-22,1524.67,65
M0437,pensioner,M,1960-11-11,15128.53,65
M0438,pensioner,F,1961-03-07,2399.54,65
M0439,pensioner,F,1952-08-03,6579.67,65
M0440,pensioner,M,1956-01-02,4823.03,65
M0441,pensioner,F,1956-08-06,2533.37,65
M0442,pensioner,M,1955-11-05,2476.8,65
M0443,pensioner,F,1952-12-10,7694.7,65
M0444,pensioner,M,1948-11-30,14698.49,65
M0445,pensioner,M,1949-04-08,5338.78,65
M0446,pensioner,F,1951-06-28,6390.81,65
M0447,pensioner,M,1950-02-12,10032.36,65
M0448,pensioner,F,1952-03-13,2502.53,65
M0449,pensioner,F,1938-04-16,11675.38,65
M0450,pensioner,M,1955-04-08,12543.07,65
M0451,pensioner,M,1957-01-10,62491.04,65
M0452,pensioner,F,1960-08-06,4277.06,65
M0453,pensioner,M,1955-02-19,3972.86,65
M0454,pensioner,M,1951-11-24,11987.07,65
M0455,pensioner,M,1954-02-28,12540.37,65
M0456,pensioner,F,1960-09-10,3706.84,65
M0457,pensioner,M,1947-05-15,4174.16,65
M0458,pensioner,M,1948-08-27,9764.73,65
M0459,pensioner,F,1955-11-06,2848.9,65
M0460,pensioner,M,1959-10-17,4146.56,65
M0461,pensioner,F,1950-03-08,6503.84,65
M0462,pensioner,M,1953-01-24,14703.78,65
M0463,pensioner,F,1955-02-11,3482.05,65
M0464,pensioner,F,1952-06-22,1142.95,65
M0465,pensioner,M,1953-01-19,1069.1,65
M0466,pensioner,F,1943-11-18,1931.48,65
M0467,pensioner,M,1944-08-02,1840.26,65
M0468,pensioner,M,1956-08-03,5220.59,65
M0469,pensioner,M,1951-08-30,2058.07,65
M0470,pensioner,F,1956-12-02,3187.64,65
M0471,pensioner,M,1948-11-08,2989.43,65
M0472,pensioner,M,1938-08-04,4036.19,65
M0473,pensioner,M,1961-04-09,19727.5,65
M0474,pensioner,M,1952-09-08,10886.38,65
M0475,pensioner,M,1941-09-06,6087.73,65
M0476,pensioner,M,1952-07-30,3962.34,65
M0477,pensioner,M,1940-01-01,4062.71,65
M0478,pensioner,M,1957-12-16,8058.53,65
M0479,pensioner,M,1958-09-26,10150.38,65
M0480,pensioner,M,1948-01-26,2650.91,65
M0481,pensioner,F,1952-08-20,6200.27,65
M0482,pensioner,M,1950-06-12,963.97,65
M0483,pensioner,M,1959-03-11,7259.43,65
M0484,pensioner,M,1944-05-17,11913.76,65
M0485,pensioner,M,1959-08-04,4663.18,65
M0486,pensioner,M,1959-08-31,30772.88,65
M0487,pensioner,F,1950-03-29,2714.6,65
M0488,pensioner,M,1948-06-19,7296.95,65
M0489,pensioner,M,1950-12-26,5809.63,65
M0490,pensioner,M,1950-04-07,5482.12,65
M0491,pensioner,M,1952-09-08,5413.36,65
M0492,pensioner,M,1950-12-31,6607.16,65
M0493,pensioner,M,1961-01-08,12870.3,65
M0494,pensioner,M,1948-11-10,20732.91,65
M0495,pensioner,M,1952-08-20,5987.86,65
M0496,pensioner,F,1959-06-26,12497.69,65
M0497,pensioner,F,1942-12-17,3190.47,65
M0498,pensioner,M,1958-02-04,11954.64,65
M0499,pensioner,M,1954-04-25,3022.15,65
M0500,pensioner,F,1952-06-02,16012.24,65
M0501,deferred,M,1973-06-04,2412.15,65
M0502,deferred,M,1976-05-28,2764.53,65
M0503,deferred,F,1963-12-12,1821.19,65
M0504,deferred,F,1968-09-12,1172.12,65
M0505,deferred,M,1970-10-30,980.78,65
M0506,deferred,F,1965-07-05,426.13,65
M0507,deferred,M,1969-03-06,1352.63,65
M0508,deferred,F,1964-01-18,6156.49,65
M0509,deferred,M,1966-02-18,830.37,65
M0510,deferred,F,1970-01-22,1021.68,65
M0511,deferred,M,1966-03-26,17541.54,65
M0512,deferred,M,1974-09-20,1973.71,65
M0513,deferred,M,1976-10-12,4672.55,65
M0514,deferred,F,1971-01-21,6239.18,65
M0515,deferred,M,1966-12-08,6353.69,65
M0516,deferred,M,1971-09-15,889.3,65
M0517,deferred,F,1976-09-04,2842.86,65
M0518,deferred,M,1972-06-29,815.75,65
M0519,deferred,M,1968-09-06,31640.85,65
M0520,deferred,M,1974-01-28,833.08,65
M0521,deferred,F,1974-01-25,1363.03,65
M0522,deferred,M,1967-10-17,1371.94,65
M0523,deferred,M,1973-01-22,910.07,65
M0524,deferred,M,1975-03-04,11823.6,65
M0525,deferred,M,1964-12-29,30968.36,65
M0526,deferred,M,1976-05-13,2280.94,65
M0527,deferred,M,1964-07-13,1066.5,65
M0528,deferred,M,1968-10-10,467.45,65
M0529,deferred,M,1970-11-09,2809.66,65
M0530,deferred,F,1971-07-21,2632.76,65
M0531,deferred,M,1973-10-17,1947.6,65
M0532,deferred,M,1965-04-02,4271.65,65
M0533,deferred,F,1978-08-17,4994.91,65
M0534,deferred,F,1968-04-08,4681.12,65
M0535,deferred,F,1968-02-25,2633.33,65
M0536,deferred,M,1969-03-17,1298.62,65
M0537,deferred,M,1969-09-19,6372.63,65
M0538,deferred,M,1974-10-25,3539.64,65
M0539,deferred,M,1967-01-22,7785.67,65
M0540,deferred,M,1972-11-20,7126.58,65
M0541,deferred,F,1975-12-24,973.53,65
M0542,deferred,M,1974-10-02,962.68,65
M0543,deferred,F,1969-01-26,1773.18,65
M0544,deferred,M,1973-04-30,1352.73,65
M0545,deferred,M,1975-08-10,6906.68,65
M0546,deferred,F,1969-11-05,4801.56,65
M0547,deferred,F,1975-03-26,9412.41,65
M0548,deferred,M,1966-09-10,5000.82,65
M0549,deferred,F,1970-01-21,4223.01,65
M0550,deferred,M,1972-03-31,10303.87,65
M0551,deferred,M,1963-04-10,5341.56,65
M0552,deferred,F,1964-08-20,3721.23,65
M0553,deferred,M,1979-02-28,13265.55,65
M0554,deferred,M,1971-02-28,3882.29,65
M0555,deferred,M,1969-06-29,2661.41,65
M0556,deferred,M,1969-04-14,1646.62,65
M0557,deferred,M,1968-02-03,6589.56,65
M0558,deferred,M,1971-04-16,10655.84,65
M0559,deferred,F,1973-01-30,3344.22,65
M0560,deferred,F,1969-11-25,11357.6,65
